timestamp,temperature,humidity,temp_rate,humi_rate_cali,predicted_label,real_label,confidence_score,prob_bg,prob_nuisance,prob_fire,inference_time_ms,memory_usage_bytes
2026-05-06 09:17:52,28.53,74.81,0.0,0.0,0,0,0.8946,0.8946,0.1018,0.0036,1.17,1568
2026-05-06 09:17:57,28.59,75.0,0.06,0.19,0,0,0.8918,0.8918,0.1046,0.0037,2.53,1568
2026-05-06 09:18:02,28.57,74.54,-0.02,-0.46,0,0,0.9158,0.9158,0.0818,0.0025,2.51,1568
2026-05-06 09:18:07,28.46,74.64,-0.11,0.1,0,0,0.8871,0.8871,0.1088,0.004,2.52,1568
2026-05-06 09:18:12,28.55,74.78,0.09,0.14,0,0,0.8835,0.8835,0.1121,0.0044,2.52,1568
2026-05-06 09:18:17,28.56,75.19,0.01,0.41,0,0,0.8786,0.8786,0.1169,0.0045,2.53,1568
2026-05-06 09:18:22,28.66,74.78,0.1,-0.41,0,0,0.9146,0.9146,0.0829,0.0025,2.51,1568
2026-05-06 09:18:27,28.56,74.94,-0.1,0.16,0,0,0.9021,0.9021,0.0951,0.0028,2.52,1568
2026-05-06 09:18:32,28.66,74.87,0.1,-0.07,0,0,0.9091,0.9091,0.0882,0.0026,2.52,1568
2026-05-06 09:18:37,28.58,75.0,-0.08,0.13,0,0,0.9053,0.9053,0.092,0.0027,2.52,1568
2026-05-06 09:18:42,28.47,75.02,-0.11,0.02,0,0,0.889,0.889,0.1071,0.004,2.52,1568
2026-05-06 09:18:47,28.62,75.07,0.15,0.05,0,0,0.8887,0.8887,0.1072,0.0041,2.52,1568
2026-05-06 09:18:52,28.62,74.8,0.0,-0.27,0,0,0.9177,0.9177,0.0801,0.0022,2.51,1568
2026-05-06 09:18:57,28.52,75.0,-0.1,0.2,0,0,0.8915,0.8915,0.1049,0.0036,2.52,1568
2026-05-06 09:19:02,28.66,74.65,0.14,-0.35,0,0,0.91,0.91,0.0872,0.0028,2.51,1568
2026-05-06 09:19:07,28.52,75.05,-0.14,0.4,0,0,0.8817,0.8817,0.1142,0.004,2.52,1568
2026-05-06 09:19:12,28.65,74.63,0.13,-0.42,0,0,0.9073,0.9073,0.0897,0.003,2.51,1568
2026-05-06 09:19:17,28.4,74.9,-0.25,0.27,0,0,0.8662,0.8662,0.1284,0.0054,2.53,1568
2026-05-06 09:19:22,28.63,75.42,0.23,0.52,0,0,0.8525,0.8525,0.1403,0.0072,2.53,1568
2026-05-06 09:19:27,28.5,76.48,-0.13,1.06,0,0,0.7931,0.7931,0.1939,0.013,2.55,1568
2026-05-06 09:19:32,28.72,76.9,0.22,0.42,0,0,0.8567,0.8567,0.1365,0.0068,2.53,1568
2026-05-06 09:19:37,28.69,77.47,-0.03,0.57,0,0,0.876,0.876,0.1195,0.0045,2.53,1568
2026-05-06 09:19:42,28.56,77.79,-0.13,0.32,0,0,0.8651,0.8651,0.1292,0.0057,2.53,1568
2026-05-06 09:19:47,28.69,78.03,0.13,0.24,0,0,0.8568,0.8568,0.1363,0.007,2.53,1568
2026-05-06 09:19:52,28.68,78.53,-0.01,0.5,0,0,0.8605,0.8605,0.1334,0.0061,2.54,1568
2026-05-06 09:19:57,28.59,78.98,-0.09,0.45,0,0,0.8425,0.8425,0.1494,0.0081,2.54,1568
2026-05-06 09:20:02,29.04,79.11,0.45,0.13,0,0,0.8331,0.8331,0.1565,0.0103,2.52,1568
2026-05-06 09:20:07,28.78,79.22,-0.26,0.11,0,0,0.9198,0.9198,0.0784,0.0018,2.53,1568
2026-05-06 09:20:12,28.7,79.21,-0.08,-0.01,0,0,0.6264,0.6264,0.3119,0.0616,2.56,1568
2026-05-06 09:20:17,28.92,79.67,0.22,0.46,0,0,0.8563,0.8563,0.1369,0.0068,2.54,1568
2026-05-06 09:20:22,28.8,79.61,-0.12,-0.06,0,0,0.9138,0.9138,0.084,0.0023,2.53,1568
2026-05-06 09:20:27,28.94,79.42,0.14,-0.19,0,0,0.9034,0.9034,0.0935,0.0031,2.52,1568
2026-05-06 09:20:32,28.96,79.45,0.02,0.03,0,0,0.923,0.923,0.0753,0.0017,2.53,1568
2026-05-06 09:20:37,28.85,79.28,-0.11,-0.17,0,0,0.927,0.927,0.0714,0.0016,2.52,1568
2026-05-06 09:20:42,28.82,79.42,-0.03,0.14,0,0,0.9016,0.9016,0.0955,0.0029,2.53,1568
2026-05-06 09:20:47,28.92,79.14,0.1,-0.28,0,0,0.9121,0.9121,0.0853,0.0026,2.52,1568
2026-05-06 09:20:52,28.61,74.59,-0.31,-4.55,2,0,0.7006,0.0025,0.2969,0.7006,2.57,1568
2026-05-06 09:20:57,28.61,74.69,0.0,0.1,0,0,0.9084,0.9084,0.0891,0.0025,2.51,1568
2026-05-06 09:21:02,28.5,74.64,-0.11,-0.05,0,0,0.9015,0.9015,0.0954,0.0031,2.51,1568
2026-05-06 09:21:07,28.58,74.68,0.08,0.04,0,0,0.8957,0.8957,0.1008,0.0035,2.51,1568
2026-05-06 09:21:12,28.78,74.52,0.2,-0.16,0,0,0.9202,0.9202,0.0778,0.002,2.51,1568
2026-05-06 09:21:17,28.62,74.5,-0.16,-0.02,0,0,0.9251,0.9251,0.0733,0.0016,2.51,1568
2026-05-06 09:21:22,28.6,74.68,-0.02,0.18,0,0,0.9055,0.9055,0.0918,0.0026,2.52,1568
2026-05-06 09:21:27,28.59,74.36,-0.01,-0.32,0,0,0.918,0.918,0.0797,0.0022,2.51,1568
2026-05-06 09:21:32,28.55,74.34,-0.04,-0.02,0,0,0.9076,0.9076,0.0898,0.0027,2.51,1568
2026-05-06 09:21:37,28.7,74.4,0.15,0.06,0,0,0.9116,0.9116,0.086,0.0024,2.51,1568
2026-05-06 09:21:42,28.65,74.24,-0.05,-0.16,0,0,0.9287,0.9287,0.0698,0.0015,2.51,1568
2026-05-06 09:21:47,28.61,74.64,-0.04,0.4,0,0,0.8995,0.8995,0.0977,0.0029,2.52,1568
2026-05-06 09:21:52,28.68,74.47,0.07,-0.17,0,0,0.9214,0.9214,0.0767,0.0019,2.52,1568
2026-05-06 09:21:57,28.76,72.19,0.08,-2.28,0,0,0.0817,0.0817,0.7588,0.1595,2.55,1568
2026-05-06 09:22:02,29.07,71.5,0.31,-0.69,0,0,0.6066,0.6066,0.3815,0.0119,2.51,1568
2026-05-06 09:22:07,29.29,71.59,0.22,0.09,0,1,0.9025,0.9025,0.0969,0.0006,2.49,1568
2026-05-06 09:22:12,29.56,70.81,0.27,-0.78,0,1,0.2056,0.2056,0.79,0.0044,2.51,1568
2026-05-06 09:22:17,29.74,70.9,0.18,0.09,0,1,0.3069,0.3069,0.6928,0.0003,2.49,1568
2026-05-06 09:22:22,30.04,70.81,0.3,-0.09,1,1,0.9321,0.0675,0.9321,0.0004,2.5,1568
2026-05-06 09:22:27,30.1,70.4,0.06,-0.41,1,1,0.9698,0.0301,0.9698,0.0001,2.51,1568
2026-05-06 09:22:32,30.36,70.51,0.26,0.11,1,1,0.9847,0.0153,0.9847,0.0001,2.51,1568
2026-05-06 09:22:37,30.48,70.0,0.12,-0.51,1,1,0.9947,0.0052,0.9947,0.0,0.92,1568
2026-05-06 09:22:42,30.72,69.99,0.24,-0.01,1,1,0.9975,0.0025,0.9975,0.0,2.5,1568
2026-05-06 09:22:47,30.63,69.87,-0.09,-0.12,1,1,0.9981,0.0019,0.9981,0.0,2.5,1568
2026-05-06 09:22:52,30.85,70.33,0.22,0.46,1,1,0.9985,0.0015,0.9985,0.0,2.51,1568
