Timestamp,Temperature,Humidity,Temp_Rate,Humi_Rate,Label
2026-04-26 08:00:00,28.91,71.42,0.0,0.0,0
2026-04-26 08:00:05,28.85,71.76,-0.012,0.068,0
2026-04-26 08:00:10,28.95,71.94,0.02,0.036,0
2026-04-26 08:00:15,28.89,71.98,-0.012,0.008,0
2026-04-26 08:00:20,28.94,71.51,0.01,-0.094,0
2026-04-26 08:00:25,28.84,71.57,-0.02,0.012,0
2026-04-26 08:00:30,28.97,71.44,0.026,-0.026,0
2026-04-26 08:00:35,29.01,71.54,0.008,0.02,0
2026-04-26 08:00:40,28.82,71.72,-0.038,0.036,0
2026-04-26 08:00:45,28.85,71.41,0.006,-0.062,0
2026-04-26 08:00:50,28.78,71.82,-0.014,0.082,0
2026-04-26 08:00:55,28.9,71.46,0.024,-0.072,0
2026-04-26 08:01:00,28.99,71.98,0.018,0.104,0
2026-04-26 08:01:05,28.9,71.92,-0.018,-0.012,0
2026-04-26 08:01:10,29.0,71.67,0.02,-0.05,0
2026-04-26 08:01:15,28.99,71.57,-0.002,-0.02,0
2026-04-26 08:01:20,28.81,71.44,-0.036,-0.026,0
2026-04-26 08:01:25,28.87,71.66,0.012,0.044,0
2026-04-26 08:01:30,28.89,71.87,0.004,0.042,0
2026-04-26 08:01:35,28.87,71.86,-0.004,-0.002,0
2026-04-26 08:01:40,28.99,71.95,0.024,0.018,0
2026-04-26 08:01:45,28.84,71.7,-0.03,-0.05,0
2026-04-26 08:01:50,28.91,71.35,0.014,-0.07,0
2026-04-26 08:01:55,28.91,71.6,0.0,0.05,0
2026-04-26 08:02:00,28.87,71.74,-0.008,0.028,0
2026-04-26 08:02:05,28.93,72.23,0.012,0.098,0
2026-04-26 08:02:10,29.01,71.71,0.016,-0.104,0
2026-04-26 08:02:15,28.93,71.6,-0.016,-0.022,0
2026-04-26 08:02:20,28.74,71.84,-0.038,0.048,0
2026-04-26 08:02:25,28.88,71.42,0.028,-0.084,0
2026-04-26 08:02:30,28.87,72.6,-0.002,0.236,1
2026-04-26 08:02:35,28.91,73.29,0.008,0.138,1
2026-04-26 08:02:40,28.89,73.37,-0.004,0.016,1
2026-04-26 08:02:45,29.01,73.53,0.024,0.032,1
2026-04-26 08:02:50,28.9,73.54,-0.022,0.002,1
2026-04-26 08:02:55,28.96,73.96,0.012,0.084,1
2026-04-26 08:03:00,28.82,74.35,-0.028,0.078,1
